[DEBUG]	2022-03-06 21:10:43:	Hard drive not found
[DEBUG]	2022-03-06 21:10:44:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:44:	USB drive not found
[DEBUG]	2022-03-06 21:10:44:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:44:	SD card not found
[DEBUG]	2022-03-06 21:10:45:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:45:	USB drive not found
[DEBUG]	2022-03-06 21:10:45:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:45:	SD card not found
[DEBUG]	2022-03-06 21:10:46:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:46:	USB drive not found
[DEBUG]	2022-03-06 21:10:46:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:46:	SD card not found
[DEBUG]	2022-03-06 21:10:47:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:47:	USB drive not found
[DEBUG]	2022-03-06 21:10:47:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:47:	SD card not found
[DEBUG]	2022-03-06 21:10:48:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:48:	USB drive not found
[DEBUG]	2022-03-06 21:10:48:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:48:	SD card not found
[DEBUG]	2022-03-06 21:10:49:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:49:	USB drive not found
[DEBUG]	2022-03-06 21:10:49:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:49:	SD card not found
[DEBUG]	2022-03-06 21:10:50:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:50:	USB drive not found
[DEBUG]	2022-03-06 21:10:50:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:50:	SD card not found
[DEBUG]	2022-03-06 21:10:51:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:51:	USB drive not found
[DEBUG]	2022-03-06 21:10:51:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:51:	SD card not found
[DEBUG]	2022-03-06 21:10:52:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:52:	USB drive not found
[DEBUG]	2022-03-06 21:10:52:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:52:	SD card not found
[DEBUG]	2022-03-06 21:10:53:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:53:	USB drive not found
[DEBUG]	2022-03-06 21:10:53:	Device unmounted from /
[DEBUG]	2022-03-06 21:10:53:	SD card not found
